movie_name,release_year,type,category,mood,ratings,poster_url
গোলাপী এখন ট্রেনে,1979,Movie,Bangladeshi,Fun,google_user:92% | imdb:8.2,https://upload.wikimedia.org/wikipedia/bn/8/8d/%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%AA%E0%A7%80_%E0%A6%8F%E0%A6%96%E0%A6%A8_%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0_%E0%A6%AA%E0%A7%8B%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0.jpeg
হঠাৎ বৃষ্টি,1998,Movie,Bangladeshi,Fun,google_user:93% | imdb:8.1,https://upload.wikimedia.org/wikipedia/bn/2/29/%E0%A6%B9%E0%A6%A0%E0%A6%BE%E0%A7%8E_%E0%A6%AC%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF_%E0%A6%9B%E0%A6%AC%E0%A6%BF%E0%A6%B0_%E0%A6%A1%E0%A6%BF%E0%A6%AD%E0%A6%BF%E0%A6%A1%E0%A6%BF_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A6%A6.jpg
ভূতের ভবিষ্যৎ,2012,Movie,Bangladeshi,Fun,google_user:94% | imdb:8.1,"https://m.media-amazon.com/images/M/MV5BMzQxYjExMTMtMjhiMy00Yzc1LWJhMzUtMWZlZGMyODc2YmE0XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg"
ব্যাচেলর,2004,Movie,Bangladeshi,Fun,google_user:96% | imdb:7.5,https://upload.wikimedia.org/wikipedia/en/8/84/Bachelor_%282004_film%29.jpg
স্বপ্নের ঠিকানা,1995,Movie,Bangladeshi,Fun,imdb:7.5,https://upload.wikimedia.org/wikipedia/bn/4/46/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%A0%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%A8%E0%A6%BE.jpeg
Kung Fu Panda,2008,Movie,English,Fun,google_user:83% | imdb:7.6 | rt:87%,https://upload.wikimedia.org/wikipedia/en/9/99/Kung_Fu_Panda_Game_Cover.jpg
Mean Girls,2004,Movie,English,Fun,google_user:86% | imdb:7.1 | rt:84%,"https://m.media-amazon.com/images/M/MV5BYzlhMTkxZWMtYzQwNi00OWI4LWI2ZGQtOWQ0OGM4NDlkYTdiXkEyXkFqcGc@._V1_QL75_UY281_CR8,0,190,281_.jpg"
Thelma,2024,Movie,English,Fun,google_user:76% | imdb:7.0 | rt:98%,https://m.media-amazon.com/images/M/MV5BYTA3MjYwNmEtYmU0Zi00NjVkLWE2YTctNDYwZTAxMmRkMjc1XkEyXkFqcGc@._V1_QL75_UX158_.jpg
Hit Man,2023,Movie,English,Fun,google_user:63% | imdb:6.8 | rt:95%,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Hit_man_2024_film.jpg/250px-Hit_man_2024_film.jpg
Bridesmaids,2011,Movie,English,Fun,google_user:71% | imdb:6.8 | rt:89%,https://m.media-amazon.com/images/M/MV5BMjAyOTMyMzUxNl5BMl5BanBnXkFtZTcwODI4MzE0NA@@._V1_FMjpg_UX1000_.jpg
